title;category;tags;location_region;est_price_pp;min_participants;accessibility_flags;weather_dependent;season;image_url;is_mystery;short_description;long_description;physical_intensity;mental_challenge;social_interaction_level;price_comment;external_rating;lead_time_min_days;risk_level;travel_time_from_office_minutes;address;website;provider;phone;email
Masters of Escape: Team-Rätselspaß in Linz;action;escape-game, teambuidling, puzzle;OOE;28;8;wheelchair;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Teamstärkende Rätsel, Spannung, Kooperation, unvergesslicher Spaß.;Adrenalin, Teamgeist und Rätselspaß: In dieser Escape Room Challenge wachst Ihr als Team zusammen, kommuniziert besser und feiert gemeinsam den Erfolg.;2;5;5;"Reine Spielgebühr ca. 25–30 € p.P. (je nach Teamgröße); bei mehreren Räumen gleichzeitig oft Rabatte auf Anfrage.";4,9;7;low;5;Kaarstraße 9, 4040 Linz;https://www.mastersofescape.at;Masters of Escape GmbH;'0732272999;office@mastersofescape.at
Lasertron: Actionreiches Lasertag Battle;action;lasertag, action, teambuilding, indoor;OOE;22;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Actionreicher Lasertag-Spaß für Teams mit Strategie, Adrenalin und viel Bewegung.;In der futuristischen Lasertag-Arena tretet ihr in Teams gegeneinander an, trainiert Taktik, Reaktion und Kommunikation – perfekt, um Kolleg:innen spielerisch zusammenzuschweißen.;5;2;3;"Pakete (z.B. 3 Spiele + Getränk) liegen bei ca. 22 €; Exklusivmiete der Arena für Firmenfeiern möglich.";4,3;;medium;5;Prinz-Eugen-Straße 22, 4020 Lustenau;https://lasertron-linz.at/;Lasertron Linz;'0732946227;info@lasertron-linz.at
Exit the Room: Das Escape Abenteuer Linz;action;escape-room, rätsel, teambuilding, indoor;OOE;28;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Klassische Escape Rooms mit kniffligen Rätseln und 60 Minuten Zeitdruck.;Ihr werdet gemeinsam in einen Themenraum „eingesperrt“ und müsst innerhalb von 60 Minuten Codes knacken, Hinweise kombinieren und als Team den Ausweg finden – ideal für kleine Gruppen, die Grübelspaß lieben.;2;5;5;"Preis sinkt bei voller Belegung (6 Pers.) auf ca. 22 € p.P.; reine Spielkosten, keine Gastronomie vor Ort.";4,7;;low;5;Auerspergstraße 15, 4020 Linz;https://www.exittheroom.at/escape-room-linz;Exit the Room Linz;'06606844996;linz@exittheroom.at
NoWayOut: Premium Escape Room Erlebnis;action;escape-room, horror, rätsel, teambuilding;OOE;30;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Filmreife Escape-Abenteuer mit starken Storys und viel Adrenalin.;Aufwendig gestaltete Themenräume sorgen für Gänsehaut, Spannung und Teamwork – von magischen bis schaurigen Szenarien arbeitet ihr euch gemeinsam durch Rätsel, Effekte und Überraschungen.;2;5;5;"Premium-Räume liegen bei ca. 30–35 € p.P.; spezielle Firmen-Challenge-Modi für große Gruppen buchbar.";4,4;;low;5;Prinz-Eugen-Straße 22, 4020 Lustenau;https://linz.nowayout-escape.at/de/;NoWayOut Linz;'0732946227;linz@nowayout-escape.at
Ocean Park: Bowling & Dinner Teamevent;action;bowling, essen, trinken, fun, indoor, teambuilding;OOE;35;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Bowling, Games und Gastronomie im großen Family-Entertainment-Center.;Zwischen Bowlingbahnen, Billard und Arcade-Games stärkt ihr euch mit Drinks und Speisen – lockere Atmosphäre für entspannte Firmenfeiern, Afterwork-Events und größere Gruppen.;3;2;4;"Reine Bahnmiete ist günstig (geteilt durch Spieler); beliebtes ""Eat & Bowl""-Paket (Burger + Bowling) liegt bei ca. 30–40 € p.P.";3,5;;low;14;Plus-Kauf-Straße 7, 4061 Pasching;https://oceanparkpluscity.at/;Ocean Park GmbH;'0722962222;linz@oceanpark.at
JUMP DOME Linz: Trampolin-Action pur;action;trampolinpark, action, sport, teambuilding, indoor;OOE;24;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Großer Trampolin- und Funpark für körperliche Action und Auspowern im Team.;Auf zahlreichen Trampolinen, Parcours und Sprungelementen könnt ihr euch so richtig austoben, gemeinsam Challenges meistern und spielerisch Teamgeist, Balance und Mut trainieren.;5;1;3;"Business-Pakete (Eintritt, Socken, Getränk, Snack) starten ab ca. 24 €; Catering für danach zubuchbar.";4,6;;high;13;Im Bäckerfeld 1, 4060 Leonding;https://jumpdome.at/linz/;JUMP DOME Linz GmbH;'0732600600;linz@jumpdome.at
Linzer Bier: Brauereiführung & Verkostung;;führung, brauerei, bier, genuss, teambuilding, kultur;OOE;19;8;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Geführter Rundgang durch die Linzer Brauerei mit Blick hinter die Kulissen und Verkostung.;Ihr taucht in die Geschichte des Linzer Biers und der Tabakfabrik ein, lernt den Brauprozess kennen und schließt die Tour mit einer gemütlichen Bierverkostung – perfekt für genussorientierte Teams.;2;1;3;"Basis-Führung inkl. Kostprobe ca. 16–19 €; mit ausgiebiger Jause/Verkostung eher 25–30 € p.P.";4,3;;low;5;Peter-Behrens-Platz 1, 4020 Linz;https://www.linzerbier.at/fuehrungen/;Linzer Bierbrauerei;'0732797800;office@linzerbier.at
Ruff Indoor Golf: Die Team-Challenge Linz;action;indoor-golf, sport, fun, teambuilding;OOE;25;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Modernes Indoor-Golf mit Simulatoren für Anfänger:innen und Pros.;In Lounge-Atmosphäre spielt ihr virtuelle Golfplätze rund um den Globus, probiert unterschiedliche Challenges aus und könnt euch bei Drinks in Ruhe austauschen – ein lockeres, wetterunabhängiges Teamevent.;3;1;3;"Box-Miete wird durch Spieler geteilt (günstig); Event-Pakete inkl. Drinks & Snacks starten meist ab 25 € p.P.";4,8;;low;14;Im Bäckerfeld 1/Parkhaus 2. OG, 4060 Leonding;https://ruffgolf.eu/at/;RUFF Indoor Golf;'06764600234;linz@ruffgolf.at
Another World: VR Team-Abenteuer erleben;action;virtual-reality, gaming, action, teambuilding, indoor;OOE;35;35;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Kooperative VR-Missionen auf großer Spielfläche – gemeinsam in die virtuelle Welt eintauchen.;Mit VR-Brillen und voller Bewegungsfreiheit erlebt ihr packende Teamspiele, löst Aufgaben im virtuellen Raum und stärkt nebenbei Reaktion, Kommunikation und Zusammenspiel.;4;2;4;"Spielsession kostet ca. 30–40 € p.P.; Lounge für Feiern kann exklusiv dazu gemietet werden.";5;;medium;10;Wegscheider Str. 22, 4020 Linz;https://linz.another-world.com/;Another World VR;'06641530932;linz@another-world.com
Deep Space 8K: Zukunftstrip im AEC Linz;;technik, innovation, kultur, multimedia, indoor;OOE;15;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Immersive 8K-Projektionen auf Wand und Boden – digitale Welten in Riesendimension.;Im Deep Space 8K erlebt ihr spektakuläre Visualisierungen, interaktive Inhalte und Wissensshows – ideal für Teams, die sich für Technologie, Kunst und Zukunftsthemen begeistern.;2;2;3;"Gruppeneintritt + Highlightführung ca. 15 € p.P.; Eventräume für Catering kosten extra Miete.";4,5;;low;8;Ars-Electronica-Straße 1, 4040 Linz;https://ars.electronica.art/center/de/deepspace/;Ars Electronica Linz;'073272720;center@ars.electronica.art
Segway Tour: Linz schwebend entdecken;;segway, outdoor, sightseeing, teambuilding;OOE;79;;;Nein;summer;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Geführte Segway-Tour durch Linz und Umgebung – entspannt gleiten statt gehen.;Nach einer kurzen Einschulung schwebt ihr gemeinsam auf Segways durch Stadt, Donauufer oder Natur und erlebt Linz aus einer neuen Perspektive – mit Spaßfaktor und viel Gesprächsstoff fürs Team.;3;1;3;"Fixpreis pro Person für Tour & Guide (ca. 79 €); kaum Gruppenrabatt, da hohe Equipmentkosten.";4,8;;medium;6;Hauptpl. 1, 4020 Linz;https://linzerschweben.at/;Linzer Schweben;'069910404044;info@linzerschweben.at
Mural Harbor: Graffiti Walk & Spray Class;;graffiti, streetart, kreativ, führung, teambuilding, outdoor;OOE;35;;;Nein;summer;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Graffiti-Rundgang im Linzer Hafen mit Möglichkeit zum selbst Sprayen.;Ihr erkundet die Graffiti-Freiluftgalerie im Hafen, erfahrt Hintergründe zu Kunstwerken und Stilrichtungen und könnt im Crashkurs selbst zur Spraydose greifen – kreatives Teamerlebnis mit Erinnerungsfaktor.;3;1;3;"Nur Führung ca. 15 €; das volle Paket ""Walk & Spray"" (Workshop) kommt auf ca. 35 € p.P.";4,7;;low;6;Mural Harbor, Regensburger Str. 2, 4020 Linz;https://muralharbor.at/tickets/;Verein Mural Harbor;'06646564619;info@muralharbor.at
Stahlwelt Linz: Werkstour & Industriekultur;;industrie, führung, technik, lernen, teambuilding;OOE;22;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Werksführung mit Blick in die moderne Stahlproduktion und den größten Industriestandort Österreichs.;Mit Guides und Multimediabussen fahrt ihr über das Werksgelände, seht Anlagen aus nächster Nähe und lernt die Reise vom Rohstoff bis zum fertigen Stahl kennen – spannend für technikaffine Teams.;2;1;2;"Werkstour inkl. Bustransfer ca. 22 €; Mittagessen in der Kantine oder Catering ist extra zu kalkulieren.";4,6;;low;7;voestalpine-Straße, 4020 Linz;https://www.voestalpine.com/stahlwelt/;voestalpine Stahlwelt;'050304158900;anmeldung.stahlwelt@voestalpine.com
